name,definition,SPA, SPB, SPD, SPE, SPF, EFA, EFB, EFC, EFD
Number of consultations through secondary health care facility ERUs / ERTs operated by RCRC Movement,"Secondary / tertiary healthcare and ERUs (health in emergencies – not public health emergencies / outbreaks). Disaggregated by sex, disability, migrant /IDP / refugee",,,,,,,,,
Number of people reached with RMNCH clinical services in emergencies,"‘Sexual and reproductive health services’ are family planning, ANC, obstetrics, PNC – if not included in PHC / SHC. Disaggregated by age and gender",,,,,,,,,
Number of children under 5 years who have been enrolled in supplementary feeding delivered by the NS following assessment,Disaggregated by gender,,,,,,,,,
Number of children under 5 years who have been enrolled in a supplementary feeding programme of another agency following assessment by the NS,Disaggregated by gender,,,,,,,,,
Number of caregivers who received guidance on cognitive stimulation for their children,"‘Guidance’ includes awareness raising on infant care practices, baby massage sessions, counselling sessions, mother-baby support groups",,,,,,,,,
% of GAM cases identified through volunteer screenings referred for treatment,Disaggregated by gender,,,,,,,,,
% of target population reached with health promotion as a response to an emergency,"‘Health promotion’ and CBHFA – community-based health and first aid - include non-hardware WASH, sexual and reproductive health, family planning promotion, nutrition and breastfeeding promotion, immunisation promotion",,,,,,,,,
Number of people reached with health promotion as a response to an emergency by community-based volunteers  ,"‘Health promotion’ and CBHFA – community-based health and first aid - include non-hardware WASH, sexual and reproductive health, family planning promotion, nutrition and breastfeeding promotion, immunisation promotion",,,,,,,,,
Number of CBHFA volunteers active during emergency (includes first aid trained volunteers),"‘Health promotion’ and CBHFA – community-based health and first aid - include non-hardware WASH, sexual and reproductive health, family planning promotion, nutrition and breastfeeding promotion, immunisation promotion",,,,,,,,,
Number of people receiving LLINs (long life insecticide treated nets) distributed by RCRCM Movement in emergencies,"Number of people (or households multiplied by the average household size). If covering whole population, the source will be population estimates for the affected community (or household estimate multiplied by the average household size). Disaggregated by sex, disability, migrant/IDP/refugee, age where known (if limited age information, include 0-17, 18-64, 65+).",,,,,,,,,
Number of people reached with vector control in emergencies,"‘Vector control in emergencies’ Includes chemical vector control - larvicide and adulticide, non-chemical vector control including environmental assessment, environmental clean-up and larval source reduction, LLIN distribution and use, insecticide resistance testing, entomological surveillance, entomology, commodities for vector control. Excludes LLIN distribution",,,,,,,,,
"Number of people reached, assisted by National Societies, with immunisation campaigns (not routine services): [recorded by vaccine type if possible, otherwise overall]","‘Assisted’ includes administering vaccines, support in logistics, mobilizing, transporting or registering potential recipients for vaccination. Assistance DOES NOT INCLUDE delivery of mass media messages. Immunisation includes BCG, polio, DP(T), measles (MMR), also vitamin A (by boys / girls); Yellow fever, OCV / cholera, SARS-CoV2, influenza, Ebola virus disease (support in ring vaccination) (all people by gender)",,,,,,,,,
% of children 12-23 months who have received the target vaccine,"Note that the calculation employs historical records of children aged up to 5 years to estimate multi-year coverage. Includes vaccination campaigns (measles, OPV, other), safe and dignified burial services (SDB), and isolation centres. P&B Indicator: # of people reached by National Societies with immunisation services ",,,,,,,,,
"Number of persons who, due to suspected infection, were cared for in a health facility without isolation capabilities by the RCRC during disease outbreaks","VHF or viral haemorrhagic fevers - Ebola, Marburg – or cholera / oral rehydration points, COVID-19, etc.",,,,,,,,,
"Number of persons who, due to suspected infection, were cared for in, an isolation centre by RCRC during disease outbreaks","VHF or viral haemorrhagic fevers - Ebola, Marburg – or cholera / oral rehydration points, COVID-19, etc.",,,,,,,,,
"Number of people attending burials / funerals which were attended and made safer by NSs with the purpose of reducing spread of infection of person-to-person disease (successful control of person-to-person contact, disinfection of burial materials)","SDB Information Management toolkit (in Viral Haemorrhagic Fever outbreaks). Indicator shows the number who would otherwise be exposed through contact with attendees and the deceased, had the team not been present. This is a driver of VHF epidemics. The number is estimated by SDB teams on the day.",,,,,,,,,
Number of burials / funerals which were attended and made safer by NSs with the purpose of reducing spread of infection of person-to-person disease ,,,,,,,,,,
"Number of people with suspected VHF infection assisted by NSs into isolation, observation or treatment centres",,,,,,,,,,
% of RCRC-assigned contacts successfully followed up ,“Performance of RC vs performance of other actors doing contact tracing” (Number of contacts followed by RC volunteers per day / Number of contacts assigned to RC for follow-up per day),,,,,,,,,
% of population with access to appropriate testing,Weekly or monthly tests carried out according to disease in question per capita in target population,,,,,,,,,
Number of health promotion campaigns on prevention and control of common communicable diseases in targeted communities,,,,,,,,,,
% of target population who can recall 2 or more protective measures,,,,,,,,,,
Number of people trained in epidemic control,Typically Epidemic Control for Volunteers (ECV),,,,,,,,,
Number of people reached with epidemic-related health promotion activities,"‘Epidemic-related health promotion’ can include support to institutions (schools, prisons, colleges, workplaces), community events, household visits, or one-to-one engagement towards reducing further transmission. It does NOT include social media, online, radio, print or television whose reach cannot be meaningfully quantified.",,,,,,,,,
% of CBS true alerts escalated to health authorities within 24 hours,CBS alerts escalated to Health authorities within 24 hours / All CBS alerts submitted,,,,,,,,,
% of alerts which were responded to through public health action within 48 hours,# of alerts - SDB; Immunization campaign; Contact tracing; etc. - responded through a public health action within 48 hours / # of all alerts raised during the reporting period,,,,,,,,,
% of targeted communities with active community-based surveillance (CBS) volunteers,# of communities where volunteers submitting reports / # of communities targeted by CBS,,,,,,,,,
% of frontline responders with adequate access to PPE during outbreaks,Adequate access to personal protective equipment (PPE) is based on requirements for the infection risk of the particular disease,,,,,,,,,
% of deceased for which safe burials were successfully carried out ,Number of cases who died and were safely buried within a given time period / Number of suspect and probable cases who died within the same time period,,,,,,,,,
% of deceased for which safe burials were successfully carried out (for “systematic” SDB),Number of successful SDBs within a given time period / Number of deaths expected in the population within the same time period,,,,,,,,,
Number of target communities / sites in health RCRC response,"If informal, these are discrete continuous sites which require travel between them. If formally recognised, then they are identified as such by name or number by administrative authorities and should be the lowest in the administrative hierarchy (such as village, commune, camp zone).",,,,,,,,,
Total spent for health program/operation in CHF as cash transfer,Amounts should include transfer value ONLY but no other indirect costs,,,,,,,,,
Total spent for health program/operation in CHF as vouchers,Amounts should include transfer value ONLY but no other indirect costs,,,,,,,,,
% of financial reporting respecting IFRC procedures,,,,,,,,,,
% of operational staff for IFRC receive a security briefing,,,,,,,,,,
Effective performance of staff supported by HR procedures,,,,,,,,,,
Number of CDRTs trained ,,,,,,,,,,
Number of coordination meetings held with other stakeholders,,,,,,,,,,
IFRC engages in inter-agency coordination during operation,,,,,,,,,,
Joint coordination tools and mechanisms are in use within the Movement response (where a Movement response is required),,,,,,,,,,
Number of branches that have the capacity to lead the operation at local level ,,,,,,,,,,
Number of operational decisions led by the NS ,,,,,,,,,,
Number of rapid response personnel support the operation,,,,,,,,,,
Number of surge missions or deployments,,,,,,,,,,
Number and % of volunteers involved in response who are insured ,,,,,,,,,,
DREF / Appeal procedures are applied during the implementation of the operation,,,,,,,,,,
Logistics department provides constant support to the National Society’s logistics unit for replenishment and other procurements,,,,,,,,,,
Movement coordination mechanism is described and active,Narrative description of coordination mechanism and its status,,,,,,,,,
One RIT member has been deployed,,,,,,,,,,
Ratio of people reached by the IFRC disaster response operations to the people affected by these emergencies,,,,,,,,,,
Number of IFRC monitoring and support missions ,,,,,,,,,,
Number of Special NDRT members trained on needs assessment and proposal writing,,,,,,,,,,
Number of weeks to establish an efficient fund transfer mechanism adapted to the level of risk and capacity of the NS ,Risk level identified by WWPP if it has taken place,,,,,,,,,
"Movement coordination meetings organized, and updates are provided to the Movement partners",,,,,,,,,,
"Movement coordination meetings organized, and updates are provided to the Movement partners",,,,,,,,,,
National Society has successfully articulated short-term emergency and NSD objectives with long-term NSD ones ,,,,,,,,,,
Number of branch leaders that take part to decisions on operational matters ,,,,,,,,,,
National Society is part of the National Disaster Response Organization’s decision-making processes and bodies,,,,,,,,,,
National Society has established a Movement Coordination mechanism in-country ,,,,,,,,,,
National Society has included specific provisions on the scale-up and scale-down of resources for the operation,,,,,,,,,,
National Society has identified knowledge transfer mechanisms from surge capacity to their staff for the duration of the operation ,,,,,,,,,,
Number of National Society systems that have been improved in a sustainable manner during the operation ,,,,,,,,,,
National Society has identified learning mechanisms to assess the impact of the operation,,,,,,,,,,
National Society has taken action on recommendations from real-time evaluations and other evaluations ,,,,,,,,,,
"National Society has improved their preparedness, contingency and response plans as a result of the recommendations and evidence of the operation ",,,,,,,,,,
"National Society has strengthened their security systems and improved the inclusion of security activities in preparedness, contingency and response plans",,,,,,,,,,
Number of Movement members that are involved in the drawing of a Movement preparedness country plan based on recommendations of evaluation of operation ,,,,,,,,,,
Number of volunteers involved in the response operation that have increased their skills in response and management of operations ,,,,,,,,,,
"Number of volunteers provided with equipment for protection, safety and support (e.g. PSS) appropriate to the emergency ",,,,,,,,,,
National Society is part of their national government’s DRM plans,,,,,,,,,,
National Society is engaged in structured preparedness for response initiatives that inform/complement the NS operational priorities.,,,,,,,,,,
National Society has identified readiness priorities based on their learnings from previous operations,,,,,,,,,,
National Society has revised or developed its contingency plan,,,,,,,,,,
National Society has adapted or developed its business continuity plan (BCP) considering a multi-hazard approach,,,,,,,,,,
"National Society has active coordination mechanism for operations (i.e. EOC, situation room)",,,,,,,,,,
National Society has in place capacities to conduct Emergency Needs Assessment,,,,,,,,,,
National Society has National Disaster Response teams trained and management systems in place,,,,,,,,,,
